,popularity,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,year
85,1,176471,0.71,0.517,0,-13.564,0.0594,0.0439,0.3339999999999999,0.0678,0.813,149.975,4,2021
86,1,75116,0.903,0.617,5,-9.93,0.263,0.0164,0.0005009999999999,0.427,0.773,85.02799999999999,4,2021
87,1,175740,0.875,0.359,1,-14.108,0.0973,0.0183,0.00171,0.091,0.884,136.036,4,2021
88,1,75769,0.948,0.376,11,-14.108,0.357,0.0125,0.0485,0.28,0.5479999999999999,136.16899999999998,4,2021
89,1,173180,0.727,0.471,1,-11.043,0.072,0.0248,0.0717,0.6990000000000001,0.182,135.93,3,2021
90,0,510537,0.78,0.568,0,-10.321,0.0412,0.0221,0.0557,0.134,0.33,119.987,4,2020
91,0,147857,0.595,0.862,10,-6.393,0.336,0.0258,0.33,0.1169999999999999,0.505,140.013,4,2021
92,0,61385,0.482,0.409,8,-13.279000000000002,0.283,0.187,0.0157,0.11,0.221,129.366,4,2021
93,0,106517,0.7959999999999999,0.521,6,-8.74,0.23,0.104,0.478,0.373,0.777,178.142,3,2021
94,0,120000,0.643,0.5529999999999999,0,-7.874,0.308,0.0712,0.879,0.105,0.49,81.658,4,2021
95,0,141236,0.738,0.7390000000000001,1,-5.665,0.166,0.00521,0.645,0.174,0.856,177.95,4,2021
96,27,144000,0.7240000000000001,0.466,4,-9.26,0.1639999999999999,0.242,0.0134,0.102,0.617,89.92200000000001,4,2020
97,0,640960,0.237,0.0437,0,-22.039,0.0435,0.897,0.851,0.0622,0.0701,114.731,4,2021
98,18,176363,0.887,0.633,8,-10.453,0.066,0.0629,0.922,0.0637,0.8490000000000001,130.023,4,2020
99,0,136504,0.614,0.0111,1,-29.327,0.0418,0.982,0.956,0.103,0.258,90.082,4,2021
100,0,198295,0.556,0.1889999999999999,9,-19.678,0.47,0.0982,0.611,0.0979,0.738,150.02200000000002,4,2021
101,0,125559,0.657,0.151,10,-24.59,0.0417,0.982,0.954,0.099,0.445,97.984,4,2021
102,0,180009,0.7759999999999999,0.8370000000000001,1,-5.862,0.0461,0.0701,0.0101,0.0899,0.617,139.977,4,2021
103,0,108057,0.542,0.0262,10,-26.019,0.0499,0.994,0.96,0.0972,0.288,102.587,4,2021
104,42,91141,0.6509999999999999,0.997,1,-6.912000000000001,0.0407,3.9e-06,0.852,0.296,0.556,139.999,4,2021
105,42,101590,0.72,0.626,2,-10.568,0.0395,0.000178,0.918,0.124,0.332,99.994,4,2021
106,42,96392,0.586,0.696,4,-7.776,0.0557,0.0278,0.966,0.186,0.7490000000000001,125.203,4,2021
107,42,103889,0.321,0.948,4,-7.775,0.0733,1.2e-06,0.8340000000000001,0.103,0.309,170.09799999999998,4,2021
108,42,225912,0.602,0.532,5,-9.396,0.135,0.108,0.785,0.2239999999999999,0.514,170.112,4,2021
109,42,114336,0.679,0.887,2,-8.277999999999999,0.0373,0.0266,0.8220000000000001,0.16,0.604,125.997,4,2021
110,37,287482,0.346,0.905,8,-7.507999999999999,0.0457,0.0253,0.0318,0.987,0.221,139.166,4,2021
111,36,135000,0.805,0.3879999999999999,6,-9.806,0.3389999999999999,0.898,0.883,0.105,0.1689999999999999,80.006,4,2021
112,35,459053,0.2189999999999999,0.0855,0,-19.703,0.0404,0.974,0.922,0.355,0.156,171.84900000000002,3,2021
113,29,121858,0.8270000000000001,0.0163,4,-20.922,0.0845,0.981,0.953,0.0923,0.0695,134.19799999999998,4,2021
